Amsterdam,Bangkok,13,631
Amsterdam,Beijing,9,428
Amsterdam,Singapore,10,795
Amsterdam,Delhi,12,987
Amsterdam,Dubai,11,799
Amsterdam,Frankfurt,8,542
Amsterdam,Hong Kong,12,760
Amsterdam,Seoul,14,698
Amsterdam,Istanbul,13,924
Amsterdam,New York,8,817
Amsterdam,Kuala Lumpur,9,760
Amsterdam,London,13,897
Amsterdam,Los Angeles,8,746
Amsterdam,Madrid,9,717
Amsterdam,Mexico City,14,473
Amsterdam,Munich,10,365
Amsterdam,Paris,1,82
Amsterdam,Rome,12,855
Amsterdam,San Francisco,10,824
Amsterdam,Shanghai,10,867
Amsterdam,Singapore,13,302
Amsterdam,Jakarta,11,975
Amsterdam,Sydney,8,576
Amsterdam,Tokyo,9,851
Bangkok,Amsterdam,14,339
Bangkok,Beijing,10,343
Bangkok,Singapore,12,893
Bangkok,Delhi,8,467
Bangkok,Dubai,9,773
Bangkok,Frankfurt,14,462
Bangkok,Hong Kong,12,872
Bangkok,Seoul,12,844
Bangkok,Istanbul,10,817
Bangkok,New York,11,892
Bangkok,Kuala Lumpur,10,967
Bangkok,London,12,340
Bangkok,Los Angeles,14,498
Bangkok,Madrid,8,535
Bangkok,Mexico City,9,962
Bangkok,Munich,8,584
Bangkok,Paris,14,743
Bangkok,Rome,11,781
Bangkok,San Francisco,12,686
Bangkok,Shanghai,10,659
Bangkok,Singapore,12,951
Bangkok,Jakarta,12,996
Bangkok,Sydney,10,422
Bangkok,Tokyo,12,376
Beijing,Amsterdam,13,631
Beijing,Bangkok,9,523
Beijing,Singapore,11,702
Beijing,Delhi,12,714
Beijing,Dubai,14,793
Beijing,Frankfurt,14,633
Beijing,Hong Kong,13,630
Beijing,Seoul,10,926
Beijing,Istanbul,11,897
Beijing,New York,14,321
Beijing,Kuala Lumpur,12,608
Beijing,London,13,662
Beijing,Los Angeles,11,891
Beijing,Madrid,10,959
Beijing,Mexico City,11,822
Beijing,Munich,12,586
Beijing,Paris,12,946
Beijing,Rome,10,697
Beijing,San Francisco,13,309
Beijing,Shanghai,9,933
Beijing,Singapore,12,738
Beijing,Jakarta,8,941
Beijing,Sydney,12,557
Beijing,Tokyo,10,981
Singapore,Amsterdam,13,613
Singapore,Bangkok,10,344
Singapore,Beijing,11,967
Singapore,Delhi,11,918
Singapore,Dubai,13,588
Singapore,Frankfurt,8,873
Singapore,Hong Kong,12,961
Singapore,Seoul,8,734
Singapore,Istanbul,10,659
Singapore,New York,9,346
Singapore,Kuala Lumpur,10,388
